ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
1,1,0,1,1,0,1,0,0,5,2,1
2,1,0,1,3,0,1,0,0,5,3,1
3,1,0,1,3,0,0,4,3,5,2,1
4,0,0,1,0,0,1,4,3,5,0,1
5,0,0,1,0,0,1,4,3,5,4,1
6,1,0,1,1,0,0,0,0,5,1,1
7,0,0,1,3,0,1,3,3,5,0,1
8,0,0,1,1,0,1,3,3,5,0,0
9,0,0,1,1,0,0,0,0,5,0,1
10,1,0,1,1,0,0,0,0,5,1,1
11,1,0,1,3,0,1,0,0,5,4,0
12,0,0,0,0,0,0,0,0,5,2,1
13,1,0,0,1,0,1,0,0,5,1,1
14,1,0,1,1,0,1,0,3,5,1,1
15,0,0,1,0,0,1,3,0,5,0,1
16,1,0,1,0,0,1,4,0,5,4,0
17,1,0,0,1,0,1,0,0,5,0,1
18,0,0,0,0,0,1,4,0,5,0,0
19,1,0,0,1,0,1,0,0,5,1,1
20,1,0,1,0,0,0,0,0,5,4,1
21,1,3,0,0,0,0,0,0,5,1,1
22,1,3,1,1,0,1,0,0,5,4,1
23,1,3,1,1,0,1,0,0,5,4,1
24,1,3,1,0,0,1,3,2,5,2,0
25,1,3,0,0,0,1,4,3,5,1,0
26,1,3,0,1,0,0,0,0,5,0,0
27,0,3,0,0,0,1,0,0,5,0,1
28,1,3,0,0,0,1,3,3,5,2,0
29,1,3,0,3,0,1,4,0,5,1,0
30,0,3,1,0,0,1,3,3,5,0,0
31,1,3,0,0,0,1,0,0,5,2,1
32,0,3,1,0,0,1,0,0,5,4,1
33,1,3,0,0,0,1,0,3,5,1,1
34,0,3,0,1,0,1,0,0,5,0,1
35,0,3,0,0,0,1,3,0,5,0,1
36,1,3,1,0,0,1,1,2,5,1,0
37,0,1,0,1,0,1,0,0,5,4,1
38,1,1,0,0,0,0,0,0,5,1,0
39,1,1,1,1,0,1,0,0,5,4,0
40,0,1,0,0,0,0,4,0,5,4,1
41,1,1,0,3,0,1,0,3,5,1,0
42,1,1,1,0,0,1,0,3,5,1,1
43,1,1,0,0,0,1,0,3,5,1,1
44,1,1,0,0,0,0,4,3,5,2,1
45,1,1,1,0,0,1,0,0,5,3,0
46,0,1,0,1,0,0,0,0,5,2,1
47,1,1,0,0,0,1,3,2,5,2,1
48,1,1,0,0,0,0,3,3,5,1,1
49,1,1,0,0,0,0,0,0,5,2,1
