ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
1,1,3,0,3,0,1,1,0,5,2,0
2,1,3,0,2,0,1,1,0,5,3,0
3,1,3,0,2,0,0,4,2,5,2,0
4,0,3,0,0,0,1,4,2,5,0,0
5,0,3,0,0,0,1,4,2,5,4,0
6,1,3,0,3,0,0,1,0,5,1,0
7,0,3,0,2,0,1,0,2,5,0,0
8,0,3,0,3,0,1,0,2,5,0,1
9,0,3,0,3,0,0,1,0,5,0,0
10,1,3,0,3,0,0,1,0,5,1,0
11,1,3,0,2,0,1,1,0,5,4,1
12,0,3,1,0,0,0,1,0,5,2,0
13,1,3,1,3,0,1,1,0,5,1,0
14,1,3,0,3,0,1,1,2,5,1,0
15,0,3,0,0,0,1,0,0,5,0,0
16,1,3,0,0,0,1,4,0,5,4,1
17,1,1,1,3,0,1,1,0,5,0,0
18,0,1,1,0,0,1,4,0,5,0,1
19,1,1,1,3,0,1,1,0,5,1,0
20,1,1,0,0,0,0,1,0,5,4,0
21,1,1,1,0,0,0,1,0,5,1,0
22,1,1,0,3,0,1,1,0,5,4,0
23,1,1,0,3,0,1,1,0,5,4,0
24,1,1,0,0,0,1,0,1,5,2,1
25,1,1,1,0,0,1,4,2,5,1,1
26,1,1,1,3,0,0,1,0,5,0,1
27,0,1,1,0,0,1,1,0,5,0,0
28,1,1,1,0,0,1,0,2,5,2,1
29,1,1,1,2,0,1,4,0,5,1,1
30,0,1,0,0,0,1,0,2,5,0,1
31,1,1,1,0,0,1,1,0,5,2,0
32,0,1,0,0,0,1,1,0,5,4,0
33,1,1,1,0,0,1,1,2,5,1,0
34,0,1,1,3,0,1,1,0,5,0,0
35,0,4,1,0,0,1,0,0,5,0,0
36,1,4,0,0,0,1,2,1,5,1,1
37,0,4,1,3,0,1,1,0,5,4,0
38,1,4,1,0,0,0,1,0,5,1,1
39,1,4,0,3,0,1,1,0,5,4,1
40,0,4,1,0,0,0,4,0,5,4,0
41,1,4,1,2,0,1,1,2,5,1,1
42,1,4,0,0,0,1,1,2,5,1,0
43,1,4,1,0,0,1,1,2,5,1,0
44,1,4,1,0,0,0,4,2,5,2,0
45,1,4,0,0,0,1,1,0,5,3,1
46,0,4,1,3,0,0,1,0,5,2,0
47,1,4,1,0,0,1,0,1,5,2,0
48,1,4,1,0,0,0,0,2,5,1,0
49,1,4,1,0,0,0,1,0,5,2,0
50,1,4,0,3,0,1,1,0,5,2,0
51,1,4,0,0,0,1,0,2,5,3,0
52,0,4,1,3,0,1,4,2,5,4,0
53,0,4,1,3,0,1,0,0,5,4,1
54,1,4,1,2,0,1,1,0,5,3,0
55,1,4,0,0,0,1,1,0,5,2,0
56,0,4,0,0,0,1,4,0,5,0,0
57,1,4,1,3,0,1,1,2,5,1,0
58,1,4,0,3,0,1,0,1,5,1,0
59,0,4,0,0,0,1,4,2,5,4,0
60,1,4,1,3,0,1,1,0,5,2,0
61,0,4,0,3,0,1,4,0,5,0,0
62,1,4,0,0,0,0,1,0,5,2,0
63,0,4,0,0,0,1,4,0,5,0,1
64,1,4,1,0,0,0,1,0,5,1,0
65,1,4,0,0,0,0,1,0,5,2,0
66,1,4,1,0,0,1,4,2,5,4,0
67,1,4,0,0,0,0,4,1,5,1,0
68,1,4,0,0,0,1,1,0,5,1,0
69,1,4,1,3,0,1,4,2,5,2,0
70,1,4,0,0,0,1,4,2,5,3,0
71,1,2,1,0,0,1,1,0,5,1,0
72,1,2,0,3,0,1,1,0,5,1,0
73,1,2,1,0,0,1,1,0,5,2,0
74,0,2,1,3,0,1,4,0,5,4,0
75,0,2,0,0,0,1,2,1,5,0,0
76,1,2,1,3,0,0,1,0,5,1,1
77,1,2,0,0,0,0,4,2,5,3,0
78,1,2,1,3,0,1,4,2,5,1,0
79,0,2,1,3,0,1,0,2,5,0,0
80,1,2,0,3,0,1,1,0,5,1,1
81,0,2,1,0,0,1,3,3,5,4,0
82,1,2,0,2,0,1,1,0,5,2,0
83,1,2,0,2,0,1,0,1,5,1,0
84,1,2,1,0,0,1,1,0,5,4,0
85,1,2,1,0,0,1,4,0,5,1,0
86,1,2,0,1,0,0,1,0,5,4,0
87,0,2,1,0,0,0,1,0,5,4,0
88,0,2,1,0,0,0,1,0,5,2,0
89,1,2,1,0,0,0,4,2,5,4,0
90,0,2,1,0,0,1,1,0,5,4,0
91,0,2,1,0,0,0,4,0,5,0,0
92,0,2,0,0,0,1,0,2,5,4,0
93,0,0,0,2,0,1,4,0,5,0,0
94,1,0,1,0,0,0,1,0,5,1,1
95,0,0,1,0,0,1,1,0,5,4,1
96,1,0,1,0,0,0,1,0,5,4,0
97,1,0,0,3,0,1,0,1,5,0,1
98,1,0,1,0,0,1,3,3,5,4,1
99,0,0,1,0,0,0,0,0,5,4,0
100,0,0,1,0,0,0,1,0,5,4,0
101,0,0,1,0,0,0,1,0,5,0,0
102,1,0,1,0,0,0,1,0,5,1,0
103,1,0,0,0,0,1,1,0,5,1,1
104,0,0,1,0,0,0,1,0,5,2,0
105,1,0,1,0,0,1,1,2,5,1,0
106,0,0,1,0,0,0,1,0,5,4,0
107,1,3,1,3,0,0,1,2,4,3,0
108,1,3,1,3,0,1,1,2,4,1,0
109,1,3,0,3,0,1,1,0,4,0,0
110,1,3,1,3,0,1,1,2,4,1,0
111,0,3,1,3,0,1,4,2,4,4,1
112,0,3,0,3,0,1,4,0,4,0,0
113,0,3,0,3,0,1,4,0,4,0,0
114,1,3,0,3,0,1,1,0,4,3,0
115,0,3,1,2,0,1,4,0,4,0,0
116,1,3,1,3,0,1,1,0,4,1,0
117,1,3,0,2,0,1,1,0,4,1,1
118,0,3,1,3,0,0,1,0,4,0,0
119,0,3,1,3,0,0,1,0,4,0,0
120,0,3,0,0,0,0,1,0,4,0,0
121,0,3,0,0,0,1,0,2,4,0,1
122,1,3,0,0,0,1,1,0,4,4,0
123,1,3,1,3,0,1,1,0,4,3,1
124,1,3,1,3,0,1,1,0,4,1,0
125,1,3,1,3,0,0,1,0,4,2,1
126,0,3,1,3,0,0,1,0,4,2,0
127,0,3,1,2,0,1,1,0,4,4,0
128,1,3,0,3,0,0,1,0,4,3,0
129,1,3,1,0,0,1,1,0,4,3,0
130,0,3,1,0,0,1,4,0,4,0,0
131,0,3,0,0,0,1,1,0,4,0,0
132,0,3,0,0,0,1,4,0,4,0,0
133,1,3,0,3,0,0,1,0,4,1,0
134,1,3,0,0,0,1,1,0,4,4,0
135,1,3,0,0,0,1,4,1,4,3,0
136,0,3,1,3,0,0,1,0,4,0,1
137,1,3,1,3,0,1,4,2,4,4,1
138,0,3,0,3,0,1,4,0,4,0,0
